"Animal.ID","Sex","SVL.mm"
"OPNM06130501","M",80.7
"OPNM06130502","M",79.1
"OPNM06130503","M",75.6
"OPNM06130504","F",77.1
"OPNM06130505","M",87.9
"OPNM06130506","M",79.9
"OPNM06130507","M",75.7
"OPNM06130508","M",87.1
"OPNM06130509","M",75.1
"OPNM06130510","F",80
"OPNM06130511","M",97.5
"OPNM06130512","M",81.1
"OPNM06130513","F",76.2
"OPNM06130514","F",64.9
"OPNM06130515","M",81.6
"OPNM06130516","M",91.7
"OPNM06130517","F",66.6
"OPNM06130518","M",94.1
"OPNM06130519","M",88.3
"OPNM06130520","M",84
"OPNM06130521","M",89.9
"OPNM06130522","M",82.6
"OPNM06130523","M",82.3
"OPNM06130524","F",83.6
"OPNM06130525","M",92.4
"OPNM06130526","M",84.1
"OPNM06130527","M",87.4
"OPNM06130528","M",86.4
"OPNM06130529","M",88
"OPNM06130530","F",72.1
"OPNM06130531","F",73.5
"OPNM06130532","M",83.9
"OPNM06130533","M",74.4
"OPNM06130534","F",77.7
"OPNM06130535","M",90.5
"OPNM06130536","M",82.2
"OPNM06130537","F",72.4
"OPNM06130538","M",86.1
"OPNM06130539","F",83.5
"OPNM06130540","M",77.7
"OPNM06130541","M",83.1
"OPNM06130542","M",83.2
"OPNM06130543","M",83.8
"OPNM06130544","F",77
"OPNM06130545","M",80.5
"OPNM06130546","M",81.2
"OPNM06130547","F",73.4
"OPNM06130548","M",82.6
"OPNM06130549","M",82.4
"OPNM06130550","M",79.9
"OPNM06130551","F",69.2
"OPNM06130553","F",68
"OPNM06130554","F",78.1
"OPNM06130555","M",94.1
"OPNM06130556","M",84.4
"OPNM06130557","M",88.4
"OPNM06140501","F",59.4
"OPNM06140502","M",90.5
"OPNM06140503","M",88.8
"OPNM06140504","M",91.3
"OPNM06140505","F",74
"OPNM06140506","F",75.1
"OPNM06140507","F",62.5
"OPNM06140508","M",70.1
"OPNM06140509","F",70.2
"OPNM06140512","M",95.3
"OPNM06140513","F",66.8
"OPNM06140514","F",71.1
"OPNM06140515","M",93.1
"OPNM06140517","F",76
"OPNM06140518","F",78.2
"OPNM06140519","F",75.5
"OPNM06140520","F",77.5
"OPNM06140521","F",71.7
"OPNM06140522","M",69.8
"OPNM06140523","M",95.2
"OPNM06140524","M",74.5
"OPNM06140525","M",87.6
"OPNM06140526","M",98.1
"OPNM06140527","M",76.2
"OPNM06140528","F",72.5
"OPNM06140529","F",76.1
"OPNM06140531","F",77
"OPNM06140532","F",74.3
"OPNM06140533","M",73.3
"OPNM06140534","M",68.9
"OPNM06140535","M",83
"OPNM06140536","M",80.1
"OPNM06140537","M",78.1
"OPNM06140538","M",88.1
"OPNM06150501","M",77.5
"OPNM06150502","M",85.7
"OPNM06150503","F",66.2
"OPNM06150504","M",93.1
"OPNM06150505","F",77.2
"OPNM06150506","M",76.2
"OPNM06150508","M",83
"OPNM06150509","M",84.8
"OPNM06150510","F",65.5
"OPNM06150511","F",74
"OPNM06150512","M",81.3
"OPNM06150513","M",98
"OPNM06150514","F",64
"OPNM06150515","M",80.5
"OPNM06150516","F",68.2
"OPNM06150517","M",82.5
"OPNM06150518","M",80.3
"OPNM06150519","M",69.6
"OPNM06150520","F",85.6
"OPNM06150521","M",88.4
"OPNM06150522","M",89.9
"OPNM06150523","M",65.2
"OPNM06150524","M",68.1
"OPNM06150525","M",79.9
"OPNM06150526","F",95.2
"OPNM06150527","M",84.6
"OPNM06150528","M",89.6
"OPNM06150529","F",60.5
"OPNM06150530","F",94.5
"OPNM06150531","M",89.8
"OPNM06150532","M",92.4
"OPNM06150533","F",70.2
"OPNM06150534","M",76.1
"OPNM06150535","M",61.5
"OPNM06150536","M",70.5
"OPNM06150537","M",70.7
"OPNM06150538","M",99.3
"OPNM06150539","M",69.8
"OPNM06150540","F",70.5
"OPNM06150541","M",96.5
"OPNM06150542","M",86.7
"OPNM06150543","M",88.2
"OPNM06150544","M",84.5
"OPNM06150545","M",73.5
"OPNM06150546","F",72.7
"OPNM06150547","F",68.8
"OPNM06150548","M",96.2
"OPNM06150549","M",84.5
"OPNM06150550","F",88.6
"OPNM06150551","M",98.9
"OPNM06150552","M",86.5
"OPNM06150553","F",75.5
"OPNM06150554","M",77.1
"OPNM06150555","F",77.3
