Species	Temperature	Growth	RaspRate
pelta	9.7	13.26	13.3
pelta	9.5	13.83	13.5
pelta	8.4	12.98	10.1
pelta	9	12.18	11.7
pelta	10.1	16.52	10.7
pelta	9.9	13.83	12.2
pelta	8.1	11.08	12.5
pelta	6.5	10.86	10.6
pelta	8.8	13.45	16.7
pelta	16.5	21.49	19.4
pelta	12.8	19.1	16.1
pelta	17.9	24.01	22.3
pelta	16.8	22.3	19.8
pelta	6.6	12	9.7
pelta	11.9	17.63	14.7
pelta	9.4	13.95	11.9
scabra	7.4	15.23	15.1
scabra	13.5	23.27	23.4
scabra	13.3	21.27	23.3
scabra	13.5	20.12	30.1
scabra	16.3	24.55	29.7
scabra	13.7	22.78	24.6
scabra	6.1	12.33	13.3
scabra	8.8	14.53	19.1
scabra	14	21.88	24.6
scabra	12.2	20.4	20.4
scabra	14.3	21.46	27.6
scabra	12.5	20.03	21.7
scabra	9.4	17.23	19.1
scabra	17.1	25.88	28.8
scabra	9.5	17.19	21.5
scabra	16	25.3	28
