Trial,Type,Value
1,A,-0.352207449
1,A,-0.351913916
1,A,0.855334337
1,A,-0.231244743
1,A,0.429619545
1,Mean,-0.040938902
2,A,-1.575180682
2,A,-0.23173298
2,A,-0.55143153
2,A,0.262487546
2,A,-0.713909986
2,A,1.762537343
2,A,1.986335213
2,A,0.254420626
2,A,-0.532238214
2,A,1.75371577
2,A,-0.520977335
2,A,1.860368989
2,A,1.673684522
2,A,1.033379894
2,A,-1.173711689
2,A,1.243935526
2,A,0.464196149
2,A,-2.005542353
2,Mean,-0.238674944
2,A,0.060398237
2,A,0.487709233
2,A,-0.977509524
3,A,-1.081583317
3,A,1.005647433
3,A,-0.131101535
3,A,1.975518058
3,A,1.313783632
3,A,-0.140063433
3,A,2.109269804
3,A,0.394783378
3,A,1.00532562
3,A,-1.167284316
3,A,-0.167547946
3,A,-0.536521181
3,A,-0.228184464
3,A,0.079255583
3,A,0.228690809
3,A,-0.33809331
3,A,-0.791977093
3,A,1.006872341
3,A,-1.289998269
3,A,-1.916572328
3,A,-0.455450866
3,A,-0.703282668
3,Mean,-0.069927054
3,A,-0.006058973
3,A,1.290253752
4,A,0.65065241
4,A,-0.257261682
4,A,-0.481499294
4,A,-0.373234788
4,A,-1.600481517
4,A,-0.705869536
4,A,-1.640352074
4,A,-1.131625917
4,A,-1.514665412
4,A,-0.361434225
4,A,1.057227886
4,A,0.118670178
4,A,-0.602337524
4,A,1.67919516
4,A,-0.147875359
4,A,-2.915633412
4,A,0.180263182
4,A,0.16970121
4,A,0.349351243
4,A,0.717918479
4,Mean,0.759153221
5,A,1.790927618
5,A,0.33600535
5,A,1.371669447
5,A,0.003989616
5,A,-0.124773493
5,A,0.773906475
5,A,1.331217292
5,A,1.191715609
5,A,-2.849750031
5,A,-0.555119542
5,A,0.796858174
5,A,0.180412989
5,A,0.695805768
5,A,-0.212351667
5,A,-0.911799815
5,A,0.298702762
5,A,-1.037416956
5,A,-0.787420293
5,A,-0.431717584
5,A,-0.696039074
5,A,0.420141321
5,A,0.821049401
5,A,0.508602842
5,Mean,0.203159268
6,A,0.968674225
6,A,1.744432348
6,A,0.055955197
6,A,1.376888846
6,A,0.445109309
6,A,0.865393393
6,A,0.435513918
6,A,-0.371184836
6,A,-0.050550903
6,A,-0.757504811
6,A,1.606148308
6,A,0.818011936
6,A,1.561000688
6,A,0.32060074
6,A,-0.574175691
6,A,-0.235524012
6,A,-1.074544332
6,A,0.595300023
6,A,0.314506462
6,A,0.90757922
6,A,-0.791497271
6,A,-1.016278138
6,A,-0.330867311
6,Mean,-1.49761044
6,A,0.288047228
6,A,0.512869406
6,A,0.102699926
6,A,-0.699449382
6,A,-0.421723395
6,A,-1.698600567
6,A,-0.397280663
7,A,-0.798865083
7,A,-0.106487561
7,A,-0.968172698
7,A,-0.787265537
7,A,0.953540437
7,A,-0.301781568
7,A,0.1092954
7,A,-0.26475925
7,A,-0.571638401
7,A,-0.826277224
7,A,-0.382220381
7,A,-0.528558165
7,A,2.280253202
7,A,1.034023074
7,A,0.032304428
7,A,0.480044868
7,A,0.212344629
7,A,-0.824790877
7,A,-2.415539276
7,A,-0.911362251
7,A,-0.600854556
7,A,2.607585981
7,Mean,-1.026771097
8,A,-0.139267308
8,A,-0.532613284
8,A,1.793949202
8,A,1.306736175
8,A,0.3048377
8,A,-0.867625787
8,A,1.403931259
8,A,-0.176097288
8,A,0.13368119
8,A,-0.245622527
8,A,-0.794430494
8,A,-0.296768913
8,A,-1.254159914
8,A,1.752585531
8,A,0.624322102
8,A,0.952452892
8,A,0.002277742
8,A,0.501075659
8,A,-1.302149075
8,A,0.451576468
8,A,2.249373573
8,A,1.154053039
8,A,-1.464156506
8,A,-0.051220009
8,A,1.761933111
8,A,-0.230457578
8,A,1.56826645
8,A,-0.481326503
8,A,-1.157750519
8,A,0.779307225
8,A,0.149942072
8,A,0.885890846
8,A,0.126080716
8,A,-0.319552365
8,A,0.40006267
8,A,-0.558037863
8,A,0.882751702
8,A,-1.678443189
8,A,0.752541224
8,A,-0.403967783
8,A,-1.365309756
8,A,-0.445114306
8,Mean,0.664266883
8,A,0.915104409
8,A,-0.334097183
8,A,-0.09765201
8,A,0.346186314
8,A,0.838709454
