##BLOCKS= 1          
Plate:	Plate#1 - RV	1.3	TimeFormat		Luminescence	Raw	FALSE	50	12.5	0.25				1	450	1	12	96	405	Automatic	435			6	Automatic			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0	29.90	275.115107	240.984511	44.733696	104.462185	36.201056	112.994828	215.386568	104.462185	138.592758	215.386568	 	 	95.929543	78.864259	138.592758	78.864259	198.321274	44.733696	44.733696	19.135777	36.201056	326.311011	 	 	104.462185	78.864259	189.788628	138.592758	27.668417	206.853921	155.658047	78.864259	95.929543	130.060114	 	 	78.864259	87.396901	155.658047	155.658047	78.864259	206.853921	155.658047	61.798977	78.864259	87.396901	 	 	0.53899	0	0.53899	27.73379	0	27.73379	18.668857	54.928594	27.73379	0	 	 	36.798725	73.058465	54.928594	0	0	82.123401	54.928594	82.123401	54.928594	9.603923	 	 	9.603923	18.668857	63.993529	0	0	63.993529	0.53899	0.53899	82.123401	100.253274	 	 	9.603923	9.603923	27.73379	27.73379	0	45.863659	45.863659	54.928594	9.603923	136.513025	 	 	
0.25	29.90	155.658047	36.201056	112.994828	147.125402	240.984511	61.798977	104.462185	70.331618	181.255982	44.733696	 	 	104.462185	44.733696	36.201056	70.331618	78.864259	95.929543	87.396901	206.853921	70.331618	19.135777	 	 	44.733696	27.668417	198.321274	112.994828	104.462185	27.668417	95.929543	206.853921	95.929543	70.331618	 	 	215.386568	70.331618	258.049808	27.668417	130.060114	147.125402	53.266336	189.788628	19.135777	198.321274	 	 	73.058465	0	0	73.058465	118.383149	0	18.668857	63.993529	0	54.928594	 	 	0.53899	63.993529	27.73379	27.73379	36.798725	0.53899	0	0.53899	0	82.123401	 	 	36.798725	127.448087	18.668857	82.123401	0	63.993529	82.123401	0	27.73379	0	 	 	109.318211	118.383149	0	0	0.53899	82.123401	127.448087	63.993529	82.123401	0.53899	 	 	
0.5	29.90	87.396901	104.462185	130.060114	368.974274	172.723337	78.864259	172.723337	87.396901	240.984511	61.798977	 	 	61.798977	61.798977	147.125402	61.798977	27.668417	147.125402	121.527471	61.798977	44.733696	2.0705	 	 	181.255982	181.255982	104.462185	112.994828	138.592758	95.929543	44.733696	121.527471	266.582457	138.592758	 	 	198.321274	232.451863	0	87.396901	53.266336	44.733696	104.462185	130.060114	78.864259	223.919215	 	 	54.928594	145.577964	0.53899	18.668857	18.668857	91.188337	0	190.902663	0.53899	0	 	 	36.798725	0	45.863659	18.668857	18.668857	45.863659	0	0	0	0.53899	 	 	45.863659	0	100.253274	18.668857	0	0	0	118.383149	0	18.668857	 	 	0	45.863659	36.798725	0	0	0	63.993529	82.123401	100.253274	54.928594	 	 	
0.75	29.90	164.190691	189.788628	112.994828	61.798977	36.201056	95.929543	27.668417	189.788628	155.658047	61.798977	 	 	70.331618	104.462185	181.255982	61.798977	112.994828	61.798977	121.527471	27.668417	121.527471	44.733696	 	 	317.778359	0	36.201056	95.929543	19.135777	147.125402	87.396901	78.864259	155.658047	53.266336	 	 	189.788628	78.864259	181.255982	78.864259	36.201056	53.266336	164.190691	44.733696	147.125402	36.201056	 	 	63.993529	0	0	0	63.993529	0	82.123401	18.668857	9.603923	9.603923	 	 	0	100.253274	36.798725	100.253274	54.928594	0	0.53899	63.993529	0.53899	45.863659	 	 	0	172.772782	63.993529	73.058465	9.603923	0	100.253274	0	27.73379	0.53899	 	 	0	0	109.318211	73.058465	0.53899	0	45.863659	0	9.603923	0	 	 	
1	29.90	61.798977	10.603139	78.864259	112.994828	164.190691	61.798977	61.798977	104.462185	0	36.201056	 	 	87.396901	19.135777	87.396901	181.255982	112.994828	78.864259	130.060114	104.462185	78.864259	0	 	 	0	95.929543	130.060114	36.201056	61.798977	2.0705	121.527471	87.396901	87.396901	2.0705	 	 	2.0705	10.603139	172.723337	309.245708	130.060114	70.331618	95.929543	70.331618	87.396901	44.733696	 	 	145.577964	0.53899	45.863659	0	73.058465	73.058465	9.603923	63.993529	0	9.603923	 	 	73.058465	0	18.668857	0	18.668857	0	100.253274	18.668857	118.383149	100.253274	 	 	0	27.73379	0.53899	118.383149	9.603923	27.73379	0	0.53899	0.53899	54.928594	 	 	0	163.707843	45.863659	27.73379	18.668857	109.318211	36.798725	0.53899	0	91.188337	 	 	
1.25	29.90	181.255982	70.331618	27.668417	172.723337	61.798977	112.994828	155.658047	44.733696	147.125402	44.733696	 	 	61.798977	78.864259	0	78.864259	53.266336	147.125402	121.527471	44.733696	87.396901	240.984511	 	 	36.201056	70.331618	44.733696	112.994828	70.331618	147.125402	112.994828	78.864259	70.331618	61.798977	 	 	95.929543	121.527471	87.396901	2.0705	53.266336	87.396901	10.603139	104.462185	78.864259	87.396901	 	 	0	0	54.928594	82.123401	9.603923	18.668857	0	100.253274	0	45.863659	 	 	109.318211	45.863659	9.603923	0	45.863659	0	18.668857	63.993529	18.668857	91.188337	 	 	109.318211	0	18.668857	0	45.863659	18.668857	0	0	0	0	 	 	63.993529	181.837723	0	0	73.058465	91.188337	63.993529	36.798725	0	18.668857	 	 	
1.5	29.90	0	130.060114	147.125402	138.592758	130.060114	27.668417	78.864259	121.527471	121.527471	36.201056	 	 	61.798977	181.255982	121.527471	112.994828	147.125402	112.994828	138.592758	70.331618	130.060114	138.592758	 	 	27.668417	36.201056	61.798977	10.603139	53.266336	78.864259	95.929543	112.994828	53.266336	147.125402	 	 	147.125402	189.788628	44.733696	155.658047	87.396901	61.798977	104.462185	172.723337	172.723337	53.266336	 	 	82.123401	18.668857	0	0	54.928594	0	36.798725	36.798725	73.058465	9.603923	 	 	0	0	0.53899	73.058465	0	54.928594	0	0.53899	154.642903	9.603923	 	 	54.928594	36.798725	0.53899	127.448087	0	27.73379	0	45.863659	27.73379	0.53899	 	 	0.53899	0.53899	36.798725	27.73379	0	27.73379	0.53899	45.863659	0	18.668857	 	 	
1.75	29.90	78.864259	19.135777	104.462185	147.125402	70.331618	121.527471	95.929543	112.994828	61.798977	181.255982	 	 	36.201056	104.462185	78.864259	223.919215	181.255982	155.658047	78.864259	138.592758	181.255982	258.049808	 	 	61.798977	112.994828	130.060114	0	70.331618	27.668417	44.733696	61.798977	266.582457	112.994828	 	 	61.798977	44.733696	44.733696	53.266336	121.527471	138.592758	44.733696	87.396901	95.929543	53.266336	 	 	9.603923	91.188337	91.188337	73.058465	0	0.53899	45.863659	0	0	45.863659	 	 	91.188337	82.123401	63.993529	18.668857	63.993529	63.993529	0	0	0	63.993529	 	 	36.798725	0	0	0	18.668857	109.318211	45.863659	36.798725	0.53899	0	 	 	0	45.863659	118.383149	0	0	45.863659	0	36.798725	82.123401	154.642903	 	 	
2	29.90	121.527471	172.723337	112.994828	198.321274	78.864259	78.864259	104.462185	104.462185	27.668417	155.658047	 	 	36.201056	70.331618	104.462185	112.994828	121.527471	95.929543	44.733696	61.798977	172.723337	181.255982	 	 	104.462185	70.331618	70.331618	78.864259	70.331618	10.603139	19.135777	112.994828	27.668417	95.929543	 	 	0	0	292.180407	70.331618	53.266336	155.658047	104.462185	2.0705	44.733696	61.798977	 	 	100.253274	63.993529	109.318211	0	0	0	63.993529	18.668857	9.603923	18.668857	 	 	18.668857	73.058465	27.73379	0	0	73.058465	45.863659	0	0	9.603923	 	 	45.863659	0	18.668857	36.798725	18.668857	91.188337	0.53899	63.993529	36.798725	54.928594	 	 	163.707843	0	0	0.53899	172.772782	0.53899	0.53899	73.058465	63.993529	9.603923	 	 	
2.25	29.90	112.994828	2.0705	164.190691	112.994828	87.396901	223.919215	44.733696	164.190691	0	44.733696	 	 	78.864259	130.060114	61.798977	181.255982	112.994828	147.125402	78.864259	147.125402	53.266336	44.733696	 	 	61.798977	172.723337	53.266336	27.668417	104.462185	172.723337	172.723337	95.929543	223.919215	19.135777	 	 	78.864259	53.266336	70.331618	53.266336	95.929543	130.060114	19.135777	78.864259	27.668417	112.994828	 	 	190.902663	9.603923	109.318211	109.318211	0	0.53899	0.53899	45.863659	63.993529	0	 	 	0.53899	18.668857	0	0	18.668857	109.318211	45.863659	54.928594	0	82.123401	 	 	0.53899	100.253274	0	9.603923	9.603923	9.603923	45.863659	145.577964	0	36.798725	 	 	0	63.993529	91.188337	0	118.383149	0	36.798725	154.642903	18.668857	54.928594	 	 	
