II##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat		Luminescence	Raw	FALSE	50	12.5	0.25				
1	450	1	12	96	405	Automatic	435			6	Automatic			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0	30.00	65.159448	59.568461	93.114388	65.159448	160.206269	126.660325	42.7955	20.431555	76.341423	121.069335	 	 	87.5234	98.705377	37.204513	59.568461	137.842305	76.341423	115.478345	42.7955	176.979245	126.660325	 	 	20.431555	65.159448	70.750436	109.887356	109.887356	14.84057	93.114388	76.341423	137.842305	59.568461	 	 	42.7955	93.114388	115.478345	48.386487	115.478345	65.159448	65.159448	98.705377	81.932412	121.069335	 	 	65.159448	70.750436	98.705377	81.932412	137.842305	53.977473	115.478345	137.842305	48.386487	59.568461	 	 	53.977473	42.7955	65.159448	70.750436	59.568461	76.341423	59.568461	132.251315	160.206269	126.660325	 	 	37.204513	42.7955	93.114388	53.977473	143.433296	115.478345	53.977473	53.977473	59.568461	87.5234	 	 	70.750436	98.705377	98.705377	26.022541	76.341423	121.069335	59.568461	93.114388	48.386487	59.568461	 	 	
0.25	30.00	93.114388	104.296366	59.568461	87.5234	48.386487	70.750436	53.977473	216.116196	70.750436	87.5234	 	 	26.022541	76.341423	70.750436	160.206269	70.750436	81.932412	121.069335	199.343215	76.341423	87.5234	 	 	20.431555	87.5234	87.5234	53.977473	70.750436	76.341423	87.5234	104.296366	81.932412	65.159448	 	 	48.386487	59.568461	59.568461	81.932412	81.932412	87.5234	104.296366	93.114388	53.977473	104.296366	 	 	59.568461	76.341423	93.114388	76.341423	42.7955	87.5234	109.887356	70.750436	109.887356	53.977473	 	 	37.204513	81.932412	31.613527	76.341423	126.660325	81.932412	98.705377	98.705377	70.750436	98.705377	 	 	48.386487	53.977473	76.341423	31.613527	115.478345	70.750436	81.932412	48.386487	104.296366	132.251315	 	 	93.114388	93.114388	137.842305	26.022541	65.159448	109.887356	93.114388	42.7955	70.750436	109.887356	 	 	
0.5	30.00	14.84057	93.114388	59.568461	98.705377	42.7955	48.386487	81.932412	126.660325	76.341423	76.341423	 	 	87.5234	65.159448	48.386487	70.750436	81.932412	87.5234	87.5234	126.660325	109.887356	93.114388	 	 	65.159448	126.660325	42.7955	70.750436	3.658599	81.932412	76.341423	154.615278	121.069335	98.705377	 	 	65.159448	31.613527	42.7955	48.386487	26.022541	121.069335	160.206269	126.660325	132.251315	143.433296	 	 	59.568461	81.932412	149.024287	98.705377	53.977473	65.159448	171.388253	126.660325	76.341423	137.842305	 	 	121.069335	93.114388	104.296366	87.5234	98.705377	65.159448	53.977473	81.932412	121.069335	115.478345	 	 	53.977473	98.705377	98.705377	76.341423	104.296366	188.16123	115.478345	137.842305	121.069335	143.433296	 	 	70.750436	93.114388	65.159448	109.887356	87.5234	70.750436	76.341423	115.478345	160.206269	87.5234	 	 	
0.75	30.00	31.613527	42.7955	37.204513	98.705377	31.613527	104.296366	59.568461	137.842305	81.932412	115.478345	 	 	48.386487	42.7955	59.568461	109.887356	76.341423	65.159448	98.705377	87.5234	70.750436	93.114388	 	 	48.386487	81.932412	93.114388	31.613527	154.615278	132.251315	98.705377	126.660325	121.069335	121.069335	 	 	98.705377	65.159448	115.478345	65.159448	109.887356	42.7955	149.024287	109.887356	81.932412	76.341423	 	 	53.977473	37.204513	87.5234	81.932412	70.750436	81.932412	98.705377	115.478345	171.388253	87.5234	 	 	109.887356	53.977473	104.296366	87.5234	59.568461	37.204513	81.932412	65.159448	93.114388	176.979245	 	 	70.750436	70.750436	137.842305	59.568461	76.341423	171.388253	121.069335	53.977473	109.887356	76.341423	 	 	109.887356	143.433296	109.887356	137.842305	115.478345	65.159448	121.069335	182.570237	70.750436	182.570237	 	 	
1	30.00	87.5234	31.613527	20.431555	98.705377	76.341423	59.568461	87.5234	121.069335	115.478345	42.7955	 	 	98.705377	53.977473	48.386487	59.568461	76.341423	126.660325	31.613527	126.660325	76.341423	53.977473	 	 	59.568461	98.705377	65.159448	81.932412	53.977473	70.750436	81.932412	109.887356	149.024287	98.705377	 	 	65.159448	104.296366	76.341423	59.568461	70.750436	81.932412	137.842305	81.932412	87.5234	37.204513	 	 	42.7955	42.7955	20.431555	87.5234	70.750436	48.386487	104.296366	81.932412	93.114388	48.386487	 	 	37.204513	31.613527	59.568461	93.114388	98.705377	137.842305	104.296366	93.114388	65.159448	93.114388	 	 	31.613527	137.842305	42.7955	53.977473	132.251315	81.932412	115.478345	70.750436	149.024287	98.705377	 	 	76.341423	115.478345	132.251315	59.568461	87.5234	53.977473	20.431555	93.114388	76.341423	109.887356	 	 	
1.25	30.00	53.977473	37.204513	87.5234	70.750436	109.887356	126.660325	121.069335	76.341423	87.5234	76.341423	 	 	26.022541	109.887356	121.069335	121.069335	93.114388	137.842305	65.159448	171.388253	93.114388	93.114388	 	 	109.887356	87.5234	98.705377	87.5234	48.386487	42.7955	70.750436	76.341423	104.296366	109.887356	 	 	53.977473	93.114388	126.660325	143.433296	149.024287	104.296366	121.069335	48.386487	126.660325	104.296366	 	 	59.568461	93.114388	87.5234	98.705377	98.705377	53.977473	87.5234	42.7955	121.069335	126.660325	 	 	93.114388	104.296366	109.887356	176.979245	65.159448	87.5234	76.341423	109.887356	137.842305	87.5234	 	 	31.613527	53.977473	109.887356	98.705377	26.022541	59.568461	115.478345	137.842305	109.887356	149.024287	 	 	42.7955	81.932412	42.7955	98.705377	53.977473	65.159448	53.977473	65.159448	53.977473	65.159448	 	 	
1.5	30.00	115.478345	37.204513	42.7955	65.159448	59.568461	93.114388	109.887356	137.842305	137.842305	154.615278	 	 	93.114388	59.568461	37.204513	70.750436	76.341423	42.7955	98.705377	154.615278	81.932412	109.887356	 	 	81.932412	31.613527	48.386487	53.977473	87.5234	176.979245	93.114388	87.5234	65.159448	132.251315	 	 	59.568461	98.705377	59.568461	210.525202	137.842305	42.7955	48.386487	104.296366	76.341423	93.114388	 	 	81.932412	104.296366	70.750436	93.114388	87.5234	65.159448	109.887356	98.705377	81.932412	81.932412	 	 	59.568461	93.114388	70.750436	53.977473	104.296366	93.114388	115.478345	98.705377	65.159448	59.568461	 	 	76.341423	48.386487	137.842305	37.204513	104.296366	76.341423	165.797261	70.750436	87.5234	137.842305	 	 	126.660325	93.114388	109.887356	121.069335	149.024287	70.750436	126.660325	115.478345	149.024287	37.204513	 	 	
1.75	30.00	70.750436	126.660325	81.932412	37.204513	93.114388	121.069335	81.932412	104.296366	154.615278	143.433296	 	 	70.750436	87.5234	53.977473	126.660325	65.159448	109.887356	26.022541	104.296366	132.251315	42.7955	 	 	76.341423	87.5234	37.204513	115.478345	87.5234	121.069335	26.022541	87.5234	109.887356	87.5234	 	 	70.750436	65.159448	70.750436	76.341423	109.887356	65.159448	70.750436	126.660325	59.568461	137.842305	 	 	81.932412	59.568461	93.114388	65.159448	53.977473	65.159448	93.114388	48.386487	53.977473	176.979245	 	 	42.7955	65.159448	48.386487	31.613527	165.797261	76.341423	149.024287	93.114388	59.568461	176.979245	 	 	93.114388	154.615278	137.842305	154.615278	93.114388	104.296366	154.615278	115.478345	109.887356	87.5234	 	 	48.386487	87.5234	98.705377	149.024287	93.114388	14.84057	98.705377	109.887356	93.114388	160.206269	 	 	
2	30.00	31.613527	48.386487	31.613527	87.5234	109.887356	98.705377	109.887356	53.977473	70.750436	93.114388	 	 	87.5234	53.977473	154.615278	87.5234	76.341423	76.341423	132.251315	70.750436	121.069335	93.114388	 	 	76.341423	132.251315	126.660325	143.433296	98.705377	104.296366	59.568461	87.5234	48.386487	42.7955	 	 	70.750436	42.7955	115.478345	26.022541	48.386487	160.206269	48.386487	65.159448	154.615278	76.341423	 	 	137.842305	31.613527	42.7955	81.932412	70.750436	87.5234	93.114388	98.705377	121.069335	143.433296	 	 	48.386487	98.705377	81.932412	81.932412	76.341423	81.932412	93.114388	126.660325	76.341423	65.159448	 	 	98.705377	26.022541	76.341423	20.431555	109.887356	65.159448	93.114388	165.797261	115.478345	121.069335	 	 	115.478345	70.750436	42.7955	70.750436	76.341423	98.705377	59.568461	109.887356	76.341423	76.341423	 	 	
2.25	30.00	70.750436	87.5234	98.705377	104.296366	9.249584	93.114388	42.7955	98.705377	132.251315	137.842305	 	 	81.932412	42.7955	81.932412	42.7955	93.114388	132.251315	98.705377	115.478345	93.114388	160.206269	 	 	42.7955	70.750436	and	31.613527	81.932412	65.159448	126.660325	149.024287	53.977473	31.613527	 	 	20.431555	93.114388	126.660325	26.022541	70.750436	121.069335	53.977473	115.478345	53.977473	93.114388	 	 	171.388253	31.613527	98.705377	143.433296	65.159448	76.341423	65.159448	154.615278	81.932412	70.750436	 	 	98.705377	76.341423	42.7955	37.204513	137.842305	87.5234	81.932412	249.662163	53.977473	76.341423	 	 	165.797261	53.977473	48.386487	81.932412	65.159448	132.251315	70.750436	48.386487	87.5234	132.251315	 	 	37.204513	70.750436	70.750436	132.251315	76.341423	70.750436	104.296366	53.977473	137.842305	98.705377	 	 	
