##BLOCKS= 1          
Plate:	Plate#3	1.3	TimeFormat		Luminescence	Raw	FALSE	50	12.5	0.25				1	450	1	12	96	405	Automatic	435			6	Automatic			1	8	None	
Time(hh:mm:ss)	Temperature(¡C)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	
0	30.00	76.341423	149.024287	165.797261	160.206269	81.932412	98.705377	126.660325	87.5234	81.932412	93.114388	 	 	87.5234	93.114388	104.296366	42.7955	98.705377	59.568461	42.7955	93.114388	70.750436	87.5234	 	 	160.206269	87.5234	165.797261	59.568461	132.251315	204.934209	53.977473	98.705377	59.568461	76.341423	 	 	87.5234	87.5234	143.433296	149.024287	115.478345	154.615278	104.296366	154.615278	149.024287	137.842305	 	 	165.797261	65.159448	149.024287	154.615278	37.204513	182.570237	76.341423	149.024287	104.296366	160.206269	 	 	115.478345	104.296366	37.204513	160.206269	93.114388	81.932412	98.705377	227.298184	121.069335	182.570237	 	 	70.750436	193.752222	76.341423	126.660325	171.388253	98.705377	126.660325	76.341423	143.433296	121.069335	 	 	65.159448	98.705377	132.251315	65.159448	176.979245	104.296366	137.842305	87.5234	104.296366	171.388253	 	 	
0.25	30.00	93.114388	93.114388	65.159448	137.842305	42.7955	81.932412	104.296366	109.887356	109.887356	143.433296	 	 	81.932412	210.525202	65.159448	204.934209	126.660325	176.979245	104.296366	93.114388	126.660325	93.114388	 	 	59.568461	70.750436	87.5234	93.114388	115.478345	149.024287	171.388253	126.660325	87.5234	87.5234	 	 	76.341423	76.341423	176.979245	143.433296	76.341423	53.977473	115.478345	87.5234	109.887356	42.7955	 	 	53.977473	115.478345	149.024287	104.296366	76.341423	87.5234	149.024287	137.842305	81.932412	176.979245	 	 	14.84057	154.615278	115.478345	87.5234	98.705377	132.251315	126.660325	87.5234	126.660325	81.932412	 	 	165.797261	53.977473	70.750436	87.5234	115.478345	87.5234	93.114388	87.5234	93.114388	93.114388	 	 	37.204513	87.5234	126.660325	98.705377	65.159448	87.5234	154.615278	59.568461	132.251315	121.069335	 	 	
0.5	30.00	48.386487	126.660325	87.5234	48.386487	143.433296	98.705377	59.568461	59.568461	115.478345	109.887356	 	 	98.705377	59.568461	65.159448	48.386487	98.705377	76.341423	149.024287	87.5234	93.114388	93.114388	 	 	70.750436	65.159448	115.478345	182.570237	132.251315	137.842305	93.114388	76.341423	126.660325	98.705377	 	 	37.204513	81.932412	109.887356	59.568461	121.069335	137.842305	121.069335	98.705377	115.478345	137.842305	 	 	93.114388	126.660325	104.296366	115.478345	154.615278	98.705377	59.568461	59.568461	160.206269	81.932412	 	 	109.887356	216.116196	93.114388	87.5234	104.296366	87.5234	93.114388	126.660325	171.388253	149.024287	 	 	65.159448	98.705377	87.5234	165.797261	65.159448	126.660325	132.251315	81.932412	126.660325	81.932412	 	 	109.887356	76.341423	121.069335	81.932412	149.024287	65.159448	165.797261	126.660325	221.70719	87.5234	 	 	
0.75	30.00	115.478345	76.341423	165.797261	76.341423	59.568461	81.932412	98.705377	132.251315	109.887356	137.842305	 	 	115.478345	70.750436	104.296366	132.251315	143.433296	160.206269	182.570237	115.478345	210.525202	70.750436	 	 	126.660325	87.5234	126.660325	87.5234	76.341423	115.478345	65.159448	126.660325	160.206269	143.433296	 	 	126.660325	98.705377	65.159448	126.660325	87.5234	98.705377	98.705377	176.979245	126.660325	171.388253	 	 	109.887356	104.296366	65.159448	93.114388	65.159448	121.069335	137.842305	70.750436	143.433296	104.296366	 	 	87.5234	165.797261	53.977473	104.296366	65.159448	115.478345	165.797261	176.979245	59.568461	154.615278	 	 	160.206269	76.341423	137.842305	76.341423	182.570237	126.660325	244.071168	48.386487	93.114388	109.887356	 	 	98.705377	126.660325	176.979245	143.433296	93.114388	132.251315	132.251315	109.887356	193.752222	115.478345	 	 	
1	30.00	121.069335	93.114388	104.296366	115.478345	137.842305	126.660325	171.388253	132.251315	53.977473	93.114388	 	 	87.5234	104.296366	109.887356	132.251315	109.887356	121.069335	42.7955	132.251315	171.388253	244.071168	 	 	87.5234	149.024287	143.433296	121.069335	81.932412	81.932412	109.887356	98.705377	70.750436	121.069335	 	 	154.615278	115.478345	87.5234	93.114388	87.5234	98.705377	182.570237	149.024287	188.16123	70.750436	 	 	93.114388	59.568461	42.7955	76.341423	137.842305	31.613527	182.570237	104.296366	81.932412	87.5234	 	 	81.932412	154.615278	115.478345	121.069335	109.887356	65.159448	87.5234	165.797261	98.705377	255.253158	 	 	104.296366	37.204513	115.478345	59.568461	154.615278	76.341423	199.343215	53.977473	70.750436	149.024287	 	 	98.705377	199.343215	115.478345	81.932412	81.932412	48.386487	143.433296	188.16123	98.705377	98.705377	 	 	
1.25	30.00	121.069335	76.341423	115.478345	115.478345	132.251315	126.660325	98.705377	93.114388	154.615278	70.750436	 	 	137.842305	104.296366	87.5234	149.024287	132.251315	126.660325	70.750436	132.251315	104.296366	109.887356	 	 	149.024287	65.159448	126.660325	137.842305	81.932412	149.024287	53.977473	98.705377	81.932412	93.114388	 	 	87.5234	143.433296	171.388253	87.5234	98.705377	98.705377	87.5234	87.5234	132.251315	137.842305	 	 	109.887356	98.705377	132.251315	121.069335	115.478345	104.296366	143.433296	171.388253	76.341423	126.660325	 	 	149.024287	137.842305	53.977473	93.114388	53.977473	81.932412	104.296366	65.159448	81.932412	121.069335	 	 	109.887356	137.842305	132.251315	232.889178	76.341423	121.069335	59.568461	104.296366	126.660325	65.159448	 	 	115.478345	93.114388	115.478345	81.932412	98.705377	70.750436	160.206269	109.887356	87.5234	199.343215	 	 	
1.5	30.00	121.069335	115.478345	98.705377	126.660325	59.568461	182.570237	76.341423	104.296366	98.705377	31.613527	 	 	182.570237	98.705377	104.296366	87.5234	70.750436	53.977473	132.251315	104.296366	137.842305	104.296366	 	 	104.296366	59.568461	87.5234	70.750436	165.797261	137.842305	121.069335	137.842305	104.296366	132.251315	 	 	98.705377	104.296366	26.022541	126.660325	98.705377	126.660325	104.296366	81.932412	93.114388	93.114388	 	 	104.296366	137.842305	143.433296	104.296366	132.251315	98.705377	59.568461	109.887356	176.979245	143.433296	 	 	59.568461	154.615278	65.159448	93.114388	149.024287	70.750436	87.5234	53.977473	104.296366	93.114388	 	 	65.159448	104.296366	109.887356	137.842305	126.660325	93.114388	160.206269	149.024287	104.296366	65.159448	 	 	81.932412	98.705377	87.5234	76.341423	165.797261	126.660325	53.977473	137.842305	132.251315	221.70719	 	 	
1.75	30.00	87.5234	154.615278	76.341423	121.069335	126.660325	176.979245	204.934209	65.159448	59.568461	65.159448	 	 	98.705377	70.750436	143.433296	121.069335	65.159448	109.887356	126.660325	149.024287	109.887356	132.251315	 	 	31.613527	59.568461	87.5234	48.386487	53.977473	65.159448	137.842305	210.525202	115.478345	87.5234	 	 	132.251315	65.159448	65.159448	93.114388	109.887356	87.5234	149.024287	76.341423	176.979245	98.705377	 	 	70.750436	132.251315	149.024287	76.341423	149.024287	81.932412	126.660325	98.705377	137.842305	137.842305	 	 	65.159448	104.296366	104.296366	126.660325	98.705377	98.705377	81.932412	76.341423	126.660325	98.705377	 	 	87.5234	98.705377	65.159448	104.296366	115.478345	59.568461	70.750436	42.7955	98.705377	98.705377	 	 	93.114388	81.932412	115.478345	137.842305	98.705377	165.797261	143.433296	149.024287	160.206269	126.660325	 	 	
2	30.00	53.977473	59.568461	76.341423	93.114388	188.16123	109.887356	109.887356	121.069335	98.705377	98.705377	 	 	109.887356	104.296366	115.478345	115.478345	132.251315	70.750436	104.296366	87.5234	126.660325	65.159448	 	 	59.568461	104.296366	109.887356	76.341423	70.750436	65.159448	121.069335	126.660325	154.615278	59.568461	 	 	126.660325	93.114388	53.977473	76.341423	48.386487	93.114388	70.750436	154.615278	154.615278	53.977473	 	 	81.932412	132.251315	93.114388	115.478345	87.5234	70.750436	176.979245	76.341423	81.932412	154.615278	 	 	98.705377	126.660325	81.932412	109.887356	98.705377	70.750436	143.433296	98.705377	87.5234	121.069335	 	 	87.5234	104.296366	109.887356	81.932412	93.114388	81.932412	137.842305	59.568461	26.022541	171.388253	 	 	93.114388	42.7955	176.979245	81.932412	98.705377	42.7955	70.750436	81.932412	121.069335	121.069335	 	 	
2.25	30.00	81.932412	160.206269	37.204513	104.296366	70.750436	98.705377	42.7955	87.5234	93.114388	132.251315	 	 	59.568461	137.842305	81.932412	87.5234	109.887356	171.388253	87.5234	93.114388	70.750436	76.341423	 	 	87.5234	115.478345	132.251315	104.296366	137.842305	81.932412	143.433296	104.296366	109.887356	115.478345	 	 	137.842305	165.797261	98.705377	126.660325	193.752222	126.660325	143.433296	109.887356	98.705377	126.660325	 	 	87.5234	115.478345	121.069335	121.069335	81.932412	149.024287	104.296366	160.206269	93.114388	65.159448	 	 	93.114388	65.159448	109.887356	160.206269	65.159448	126.660325	176.979245	104.296366	115.478345	115.478345	 	 	109.887356	109.887356	37.204513	87.5234	132.251315	121.069335	109.887356	87.5234	115.478345	115.478345	 	 	76.341423	121.069335	59.568461	59.568461	98.705377	14.84057	104.296366	143.433296	149.024287	104.296366	 	 	
