Animal ID,Sex,Snout Vent Length (mm)
OPNM06130501,M,80.70
OPNM06130502,M,79.10
OPNM06130503,M,75.60
OPNM06130504,F,77.10
OPNM06130505,M,87.90
OPNM06130506,M,79.90
OPNM06130507,M,75.70
OPNM06130508,M,87.10
OPNM06130509,M,75.10
OPNM06130510,F,80.00
OPNM06130511,M,97.50
OPNM06130512,M,81.10
OPNM06130513,F,76.20
OPNM06130514,F,64.90
OPNM06130515,M,81.60
OPNM06130516,M,91.70
OPNM06130517,F,66.60
OPNM06130518,M,94.10
OPNM06130519,M,88.30
OPNM06130520,M,84.00
OPNM06130521,M,89.90
OPNM06130522,M,82.60
OPNM06130523,M,82.30
OPNM06130524,F,83.60
OPNM06130525,M,92.40
OPNM06130526,M,84.10
OPNM06130527,M,87.40
OPNM06130528,M,86.40
OPNM06130529,M,88.00
OPNM06130530,F,72.10
OPNM06130531,F,73.50
OPNM06130532,M,83.90
OPNM06130533,M,74.40
OPNM06130534,F,77.70
OPNM06130535,M,90.50
OPNM06130536,M,82.20
OPNM06130537,F,72.40
OPNM06130538,M,86.10
OPNM06130539,F,83.50
OPNM06130540,M,77.70
OPNM06130541,M,83.10
OPNM06130542,M,83.20
OPNM06130543,M,83.80
OPNM06130544,F,77.00
OPNM06130545,M,80.50
OPNM06130546,M,81.20
OPNM06130547,F,73.40
OPNM06130548,M,82.60
OPNM06130549,M,82.40
OPNM06130550,M,79.90
OPNM06130551,F,69.20
OPNM06130553,F,68.00
OPNM06130554,F,78.10
OPNM06130555,M,94.10
OPNM06130556,M,84.40
OPNM06130557,M,88.40
OPNM06140501,F,59.40
OPNM06140502,M,90.50
OPNM06140503,M,88.80
OPNM06140504,M,91.30
OPNM06140505,F,74.00
OPNM06140506,F,75.10
OPNM06140507,F,62.50
OPNM06140508,M,70.10
OPNM06140509,F,70.20
OPNM06140512,M,95.30
OPNM06140513,F,66.80
OPNM06140514,F,71.10
OPNM06140515,M,93.10
OPNM06140517,F,76.00
OPNM06140518,F,78.20
OPNM06140519,F,75.50
OPNM06140520,F,77.50
OPNM06140521,F,71.70
OPNM06140522,M,69.80
OPNM06140523,M,95.20
OPNM06140524,M,74.50
OPNM06140525,M,87.60
OPNM06140526,M,98.10
OPNM06140527,M,76.20
OPNM06140528,F,72.50
OPNM06140529,F,76.10
OPNM06140531,F,77.00
OPNM06140532,F,74.30
OPNM06140533,M,73.30
OPNM06140534,M,68.90
OPNM06140535,M,83.00
OPNM06140536,M,80.10
OPNM06140537,M,78.10
OPNM06140538,M,88.10
OPNM06150501,M,77.50
OPNM06150502,M,85.70
OPNM06150503,F,66.20
OPNM06150504,M,93.10
OPNM06150505,F,77.20
OPNM06150506,M,76.20
OPNM06150508,M,83.00
OPNM06150509,M,84.80
OPNM06150510,F,65.50
OPNM06150511,F,74.00
OPNM06150512,M,81.30
OPNM06150513,M,98.00
OPNM06150514,F,64.00
OPNM06150515,M,80.50
OPNM06150516,F,68.20
