Animal ID,Sex,Snout Vent Length (mm)
OPNM06150517,M,82.5
OPNM06150518,M,80.3
OPNM06150519,M,69.6
OPNM06150520,F,85.6
OPNM06150521,M,88.4
OPNM06150522,M,89.9
OPNM06150523,M,65.2
OPNM06150524,M,68.1
OPNM06150525,M,79.9
OPNM06150526,F,95.2
OPNM06150527,M,84.6
OPNM06150528,M,89.6
OPNM06150529,F,60.5
OPNM06150530,F,94.5
OPNM06150531,M,89.8
OPNM06150532,M,92.4
OPNM06150533,F,70.2
OPNM06150534,M,76.1
OPNM06150535,M,61.5
OPNM06150536,M,70.5
OPNM06150537,M,70.7
OPNM06150538,M,99.3
OPNM06150539,M,69.8
OPNM06150540,F,70.5
OPNM06150541,M,96.5
OPNM06150542,M,86.7
OPNM06150543,M,88.2
OPNM06150544,M,84.5
OPNM06150545,M,73.5
OPNM06150546,F,72.7
OPNM06150547,F,68.8
OPNM06150548,M,96.2
OPNM06150549,M,84.5
OPNM06150550,F,88.6
OPNM06150551,M,98.9
OPNM06150552,M,86.5
OPNM06150553,F,75.5
OPNM06150554,M,77.1
OPNM06150555,F,77.3
