POSIXt,DateTime,TC0,TC1,TC2,TC3,TC4,TC5,TC6,TC7
1500885615,2017-07-24 08:40:15,23.545,17.847,17.837,18.241,17.902,17.986,18.699,18.332
1500885620,2017-07-24 08:40:20,24.121,17.848,17.836,18.178,18.030,18.051,18.957,18.332
1500885625,2017-07-24 08:40:25,24.121,17.911,17.773,18.305,18.029,18.114,19.021,18.203
1500885630,2017-07-24 08:40:30,24.057,17.912,17.837,18.370,17.965,18.178,19.149,18.267
1500885635,2017-07-24 08:40:35,24.058,17.911,17.836,18.563,18.094,18.179,19.214,18.331
1500885640,2017-07-24 08:40:40,24.057,17.912,17.836,18.626,18.030,18.243,19.279,18.268
1500885645,2017-07-24 08:40:45,24.186,17.847,17.836,18.626,17.965,18.242,19.150,18.332
1500885650,2017-07-24 08:40:50,24.121,17.911,17.900,18.626,18.029,18.179,19.214,18.395
1500885655,2017-07-24 08:40:55,24.121,17.975,17.837,18.691,17.966,18.243,19.278,18.331
1500885660,2017-07-24 08:41:00,24.058,18.104,17.836,18.754,18.093,18.242,19.342,18.267
1500885665,2017-07-24 08:41:05,24.056,18.038,17.901,18.820,18.029,18.242,19.407,18.394
1500885670,2017-07-24 08:41:10,24.184,17.912,17.836,18.883,18.157,18.307,19.471,18.266
1500885675,2017-07-24 08:41:15,23.928,17.911,17.836,18.884,18.093,18.307,19.471,18.203
1500885680,2017-07-24 08:41:20,24.184,18.103,17.964,19.011,18.221,18.306,19.471,18.395
1500885685,2017-07-24 08:41:25,24.120,18.039,17.900,19.077,18.157,18.500,19.663,18.331
1500885690,2017-07-24 08:41:30,24.249,17.974,17.964,19.076,18.156,18.499,19.727,18.395
1500885695,2017-07-24 08:41:35,24.184,17.975,17.835,19.140,18.285,18.500,19.728,18.395
1500885700,2017-07-24 08:41:40,24.248,17.975,17.835,19.205,18.221,18.435,19.792,18.523
1500885705,2017-07-24 08:41:45,24.248,18.038,18.028,19.334,18.220,18.563,19.727,18.394
1500885710,2017-07-24 08:41:50,24.183,18.038,17.899,19.269,18.221,18.628,19.920,18.458
1500885715,2017-07-24 08:41:55,24.184,18.102,18.029,19.269,18.221,18.628,19.919,18.394
1500885720,2017-07-24 08:42:00,24.311,18.166,18.028,19.397,18.220,18.692,19.984,18.522
1500885725,2017-07-24 08:42:05,24.248,18.039,17.963,19.397,18.349,18.564,19.984,18.459
1500885730,2017-07-24 08:42:10,24.248,18.039,18.026,19.461,18.220,18.629,19.984,18.457
1500885735,2017-07-24 08:42:15,24.248,18.102,18.092,19.462,18.284,18.756,20.048,18.522
1500885740,2017-07-24 08:42:20,24.311,18.166,18.090,19.525,18.285,18.756,20.047,18.393
1500885745,2017-07-24 08:42:25,24.312,18.230,18.091,19.654,18.349,18.756,20.047,18.586
1500885750,2017-07-24 08:42:30,24.184,18.229,18.091,19.589,18.412,18.755,20.176,18.393
1500885755,2017-07-24 08:42:35,24.247,18.295,18.092,19.590,18.413,18.756,20.239,18.522
1500885760,2017-07-24 08:42:40,24.184,18.166,18.155,19.717,18.477,18.948,20.304,18.586
1500885765,2017-07-24 08:42:45,24.311,18.230,18.090,19.718,18.476,18.756,20.176,18.521
1500885770,2017-07-24 08:42:50,24.311,18.231,18.155,19.846,18.477,18.819,20.432,18.586
1500885775,2017-07-24 08:42:55,24.374,18.102,18.092,19.782,18.477,18.883,20.431,18.650
1500885780,2017-07-24 08:43:00,24.246,18.230,18.220,19.974,18.412,18.948,20.432,18.714
1500885785,2017-07-24 08:43:05,24.310,18.421,18.219,19.975,18.476,19.012,20.432,18.585
1500885790,2017-07-24 08:43:10,24.310,18.293,18.092,19.974,18.476,19.013,20.560,18.649
1500885795,2017-07-24 08:43:15,24.246,18.292,18.282,20.103,18.540,18.948,20.624,18.650
1500885800,2017-07-24 08:43:20,24.374,18.293,18.219,20.102,18.603,19.076,20.625,18.713
1500885805,2017-07-24 08:43:25,24.374,18.357,18.283,20.039,18.476,19.141,20.689,18.712
1500885810,2017-07-24 08:43:30,24.310,18.420,18.348,20.167,18.668,19.076,20.752,18.713
1500885815,2017-07-24 08:43:35,24.309,18.357,18.283,20.166,18.604,19.204,20.689,18.714
1500885820,2017-07-24 08:43:40,24.373,18.421,18.348,20.167,18.669,19.205,20.817,18.714
1500885825,2017-07-24 08:43:45,24.309,18.484,18.347,20.166,18.668,19.269,20.688,18.713
1500885830,2017-07-24 08:43:50,24.310,18.356,18.283,20.167,18.668,19.269,20.880,18.777
1500885835,2017-07-24 08:43:55,24.309,18.422,18.412,20.231,18.604,19.205,20.816,18.713
1500885840,2017-07-24 08:44:00,24.375,18.357,18.282,20.295,18.732,19.332,20.752,18.776
1500885845,2017-07-24 08:44:05,24.309,18.420,18.347,20.424,18.731,19.333,20.880,18.777
1500885850,2017-07-24 08:44:10,24.309,18.422,18.410,20.488,18.668,19.332,21.009,18.778
1500885855,2017-07-24 08:44:15,24.309,18.357,18.474,20.488,18.796,19.332,20.880,18.776
1500885860,2017-07-24 08:44:20,24.310,18.420,18.347,20.423,18.668,19.461,20.944,18.905
1500885865,2017-07-24 08:44:25,24.309,18.548,18.411,20.423,18.732,19.462,21.009,18.840
1500885870,2017-07-24 08:44:30,24.373,18.548,18.539,20.488,18.797,19.525,21.073,18.840
1500885875,2017-07-24 08:44:35,24.308,18.611,18.539,20.616,18.732,19.462,21.072,18.904
1500885880,2017-07-24 08:44:40,24.374,18.613,18.410,20.487,18.795,19.589,21.201,18.904
1500885885,2017-07-24 08:44:45,24.308,18.548,18.602,20.679,18.859,19.525,21.073,18.905
1500885890,2017-07-24 08:44:50,24.309,18.548,18.540,20.679,18.731,19.461,21.200,18.904
1500885895,2017-07-24 08:44:55,24.245,18.547,18.538,20.679,18.924,19.524,21.265,19.034
1500885900,2017-07-24 08:45:00,24.373,18.613,18.539,20.743,18.924,19.653,21.264,18.969
1500885905,2017-07-24 08:45:05,24.500,18.548,18.603,20.678,18.860,19.653,21.265,19.033
1500885910,2017-07-24 08:45:10,24.371,18.613,18.538,20.808,18.924,19.652,21.264,19.033
1500885915,2017-07-24 08:45:15,24.308,18.612,18.667,20.808,18.988,19.653,21.328,18.968
1500885920,2017-07-24 08:45:20,24.372,18.612,18.603,20.935,18.988,19.780,21.328,18.968
1500885925,2017-07-24 08:45:25,24.308,18.741,18.603,20.936,18.988,19.716,21.328,19.097
1500885930,2017-07-24 08:45:30,24.372,18.611,18.603,21.000,19.052,19.716,21.393,19.096
1500885935,2017-07-24 08:45:35,24.436,18.676,18.666,20.998,18.987,19.781,21.521,19.161
1500885940,2017-07-24 08:45:40,24.308,18.675,18.668,20.935,19.051,19.782,21.456,19.161
1500885945,2017-07-24 08:45:45,24.372,18.740,18.666,20.999,19.051,19.781,21.519,19.096
1500885950,2017-07-24 08:45:50,24.435,18.739,18.603,20.999,19.180,20.037,21.585,19.096
1500885955,2017-07-24 08:45:55,24.371,18.739,18.731,21.192,19.179,19.909,21.585,19.161
1500885960,2017-07-24 08:46:00,24.499,18.803,18.667,21.127,19.051,19.973,21.520,19.096
1500885965,2017-07-24 08:46:05,24.370,18.740,18.731,21.192,19.178,19.973,21.584,19.161
1500885970,2017-07-24 08:46:10,24.307,18.867,18.795,21.192,19.180,20.036,21.713,19.096
1500885975,2017-07-24 08:46:15,24.435,18.867,18.795,21.255,19.244,20.036,21.776,19.096
1500885980,2017-07-24 08:46:20,24.435,18.803,18.794,21.255,19.244,20.101,21.776,19.159
1500885985,2017-07-24 08:46:25,24.306,18.868,18.794,21.255,19.244,20.037,21.712,19.224
1500885990,2017-07-24 08:46:30,24.307,18.803,18.794,21.256,19.179,20.101,21.840,19.160
1500885995,2017-07-24 08:46:35,24.435,18.867,18.794,21.384,19.308,20.100,21.840,19.160
1500886000,2017-07-24 08:46:40,24.435,18.868,18.794,21.255,19.372,20.102,21.840,19.224
1500886005,2017-07-24 08:46:45,24.562,18.867,18.922,21.511,19.372,20.100,21.968,19.159
1500886010,2017-07-24 08:46:50,24.562,18.866,19.050,21.511,19.244,20.293,21.968,19.224
